ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330037.02,-0.74708,0.12873,1.76573,0.058548,0.047445,0.039115,-0.244733,0.340219,0.008268,0.34273,0.719958,1.047217,0,1.356209,0.19588,1.59894,-0.3802,0.50316
9330038,-0.629233,0.028412,2.016946,0.057059,0.036352,-0.373512,-0.199433,0.072479,-0.378179,-0.236033,0.804765,0.895558,0,0.361552,-0.65886,1.55741,0.16006,-0.0725
9330039.01,-0.423775,-0.859234,2.023093,0.039618,0.034432,0.058581,-0.519979,-0.754892,-0.648804,0.224745,2.15968,2.130411,0,1.363673,-1.40751,2.72079,-0.5317,0.57455
9330039.02,-0.318852,-0.697611,0.95036,0.045999,0.038059,-0.415921,-0.364348,-0.004598,-0.438762,0.401212,1.714187,1.227332,0,-0.691215,-0.86112,1.45792,-0.45021,-0.47473
9330040.01,-0.915517,-0.532449,2.444434,0.049189,0.034006,-0.639781,-0.638242,-1.226127,-0.637981,0.21746,2.0674,-0.050353,0,1.144392,-1.67186,2.18354,-0.08719,-0.33222
9330040.02,-0.637521,-1.727201,2.270139,0.04685,0.035926,-0.490158,-0.43027,-0.681161,-0.636903,-0.139615,2.330045,-0.000034,0,0.865188,-1.77446,2.17781,0.06604,-0.25528
9330041.01,-0.425648,0.003587,1.946623,0.042596,0.036139,-0.148557,-0.348741,-0.438185,-0.618565,-0.077219,1.829859,1.043225,0,0.921273,-1.10567,2.04922,-0.1417,0.14778
9330041.02,0.229772,-0.975378,0.712929,0.044936,0.034219,0.428518,-0.196808,0.003481,-0.505037,0.132188,0.710858,0.200121,-0.341612,0.522633,-0.93258,0.81611,-0.04657,0.4436
9330042,0.450793,-0.39862,0.526398,0.03345,0.037846,1.763382,-0.5451,-0.479788,-0.563712,0.130909,0.015911,0.804806,0,2.357638,-0.61204,0.89402,-0.454,1.83164
9330043.01,0.967246,0.156535,0.585822,0.048339,0.035712,2.527564,0.330331,-0.536652,-0.339568,-0.808001,0.155769,-0.313165,0,1.822069,-0.72268,0.23743,1.00803,1.96398
9330043.02,2.40459,-1.679648,-0.589793,0.034939,0.033153,3.261698,0.371241,-0.544068,-0.230955,-0.390827,-0.422044,-0.646576,0,2.762838,-0.95924,-0.42757,0.68327,3.09717
9330044,2.204105,-0.752306,0.450534,0.040256,0.034432,3.883331,-0.492462,-0.642947,-0.460229,0.378902,0.493879,2.351019,0,1.340935,-0.74239,1.09232,-0.38277,3.05738
9330045.01,0.708129,-0.318216,0.923539,0.044085,0.032513,1.602542,-0.446795,-0.485314,-0.657863,0.318363,0.554253,-0.358802,-0.337167,2.038981,-0.9686,0.86458,-0.09493,1.5127
9330045.02,0.166965,-0.073338,1.152803,0.042596,0.034219,1.068667,-0.194739,-0.431901,-0.635616,0.031862,0.890024,1.179718,0,1.714651,-0.89003,1.50555,-0.09418,1.24476
9330046,-0.52787,-0.604006,2.106762,0.053018,0.035499,-0.1022,-0.237001,-0.468841,-0.586233,-0.44796,1.880684,1.047854,0,0.802669,-1.29972,2.16366,0.24318,0.13731
9330047.01,0.430963,-0.561515,1.462282,0.041107,0.033366,0.304397,-0.783333,-0.768813,-0.682228,0.46955,2.166669,1.25005,0,0.745712,-1.38275,2.06385,-0.62197,0.49628
9330047.02,-0.69778,0.363046,2.296393,0.053231,0.032299,-0.404156,0.356722,-0.651599,-0.706671,-0.483367,2.400989,2.202327,0,0.558387,-1.4016,2.67292,0.52805,0.00623
9330048,-0.024218,-1.658904,1.242066,0.049189,0.033579,0.334161,-0.471213,-0.450361,-0.593314,-0.10778,1.602056,1.379197,0,0.224774,-1.43469,1.78841,-0.12172,0.328
9330049.01,0.206657,-0.114913,0.846786,0.040256,0.032513,-0.197758,-0.283948,-0.637335,-0.567169,0.061374,1.044135,0.699252,0,-0.694769,-1.21132,0.85218,-0.0138,-0.33858
