ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3
59150195,-1.483515,-1.036718,-0.725805,-0.677497,-0.023385,-0.226376,-0.697739,0.102286,0,0,-1.135968,,,
59150196,1.254902,-0.485647,-0.682352,-0.924069,-0.023733,0.227426,0,-0.114946,-0.042213,0,0,,,
59150197,-0.514048,2.435726,3.4544,0.200914,-0.025375,0.331221,-0.64254,2.212895,-0.303235,0,-0.025911,0.03014,2.45271,0.35062
59150198,0.288764,1.492683,-0.421632,-0.73914,-0.02438,0.864037,0,1.134139,0.479833,0,-0.755788,,,
59150199,0.221148,-0.019181,1.081851,-0.662086,-0.024927,0.227426,-0.682276,2.008499,-0.932865,0,0,,,
59150200,0.34615,0.457015,-0.52592,0.093039,-0.023186,0.536151,-0.615712,0.04119,0.284066,0,0.061936,-0.19785,-0.28028,0.23519
59150201,0.964893,0.558861,-0.821402,-0.970301,-0.023783,0.304312,-0.66737,1.446411,-0.184073,0,-0.332157,-0.89587,0.33364,-0.14966
59150202,0.630262,0.276384,0.317074,-0.215175,-0.022589,0.536151,-0.621419,0.322234,-0.897924,0,0.399806,-0.29009,-0.09655,-0.42161
59150203,1.031198,-0.154057,-1.073431,-0.32305,-0.022439,-0.13891,-0.687228,-0.159556,0.039357,0,2.238126,-0.65906,-1.05722,0.8779
59150204,-1.483515,-0.177432,-0.830093,-1.093587,-0.022589,0.000964,-0.700169,-0.180687,-0.999653,0,0.896475,-0.95995,-0.62743,0.12287
59150205,1.289522,-0.32794,-0.856165,-0.245997,-0.022141,-0.13891,-0.585001,-0.427217,-0.042213,0,2.02338,-0.50916,-1.20937,0.62546
59150206,-1.483515,-0.968821,-1.264626,-0.769962,-0.021892,0.401534,0,0.28917,0,0,2.63694,,,
59150207,1.088983,-0.866975,-0.977834,0.139271,-0.021942,-0.685972,-0.54308,-0.49928,0,0,1.627196,,,
59150208,1.323943,-0.087739,0.065045,-0.353872,-0.026121,-0.556805,-0.585001,-1.082987,0,0,1.155835,,,
59150209,1.103629,-0.611401,-0.92569,-0.153532,-0.022539,-0.395345,-0.69647,0.115149,0,0,1.882146,,,
59150210,1.134858,-0.445044,-1.368914,-0.076479,-0.022838,0.536151,0,-0.386486,0,0,-0.405817,,,
59150211,0.935316,-0.704948,-0.39556,-0.061068,-0.02234,-0.233886,-0.681401,0.392495,-0.080152,0,1.780745,-0.52868,-0.84074,0.47917
59150212,0.904258,-0.154057,-0.047934,0.062218,-0.022738,-0.556805,0,-0.739488,0,0,-0.417226,,,
59150213,1.237037,-0.745258,-0.804021,-0.970301,-0.022589,-0.723472,-0.671754,0.509597,0,0,2.02338,,,
59150214,0.107743,-0.607732,0.117188,2.481702,-0.024977,-0.556805,-0.609592,1.366112,0,0,0,,,
59150219,-1.483521,0.394341,-0.534611,-0.415515,-0.022191,0.57341,-0.635523,0,0,0,0,,,
